incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR123	lnc-C14orf105-3:1	2.6638148	1.771869	2.382143	1.9197851	1.206491	0.8464256
incR124	lnc-C15orf29-2:1	1.9581162	1.6539617	1.8396575	0.79743207	0.8397222	1.4817622
incR125	lnc-C15orf54-4:1	5.0587783	5.0199785	6.1586204	4.724121	4.460301	4.254162
incR126	lnc-C16orf72-7:1	2.2633107	2.0432546	1.3497577	1.0056247	1.0067786	0.9694127
incR127	lnc-C16orf95.1-2:5	2.1195366	2.7024436	1.8746499	1.6027831	0.956962	0.9643112
incR128	lnc-C17orf104-2:3	4.6919985	4.40751	4.5230265	4.1726627	3.8325365	4.102896
incR129	lnc-C19orf21-3:3	11.582855	11.262197	11.212858	10.987556	10.825476	10.812576
incR130	lnc-C1orf101-1:1	2.468935	1.2891873	2.0093632	0.96723115	0.9800596	1.0760398
incR131	lnc-C1orf96-5:1	2.6959295	2.9901943	2.9082532	2.29853	1.349506	0.8774367
incR132	lnc-C22orf46-1:1	3.312015	3.6285114	3.924456	3.090738	2.524147	2.7030365
incR133	lnc-C3orf24-1:1	4.130664	4.2410994	3.732837	3.7024918	3.5149243	3.5184007
incR134	lnc-C3orf49-3:3	2.546442	1.8663309	2.074837	1.3422425	1.1383232	1.2023108
incR135	lnc-C3orf72-7:1	5.4731417	5.4346523	5.2822514	5.2242904	4.65912	4.7967467
incR136	lnc-C5orf22-2:1	5.1738987	5.472811	5.686262	4.8214097	4.753982	5.0611486
incR137	lnc-C6orf195-8:1	5.0433292	5.395199	5.2525682	4.819728	4.698117	4.7810655
incR138	lnc-C6orf228-3:1	3.0099938	3.4705417	2.8350914	2.6098988	2.5912712	2.7053494
incR139	lnc-C8B-2:1	6.478588	6.227177	6.063635	5.60794	5.698063	5.7550077
incR140	lnc-C8orf34-2:1	3.2814672	2.2927642	3.3386936	2.295992	1.0481315	1.0590181
incR141	lnc-C8orf74-5:1	2.0702512	2.8421457	2.552322	1.1545506	1.3824768	0.91605276
incR142	lnc-C9orf156-1:1	3.6992955	2.955512	3.3098464	1.8447504	2.7207236	2.2660246
incR143	lnc-C9orf68-5:1	4.3398957	5.028768	4.6218896	4.0014453	3.098755	3.2934847
incR144	lnc-C9orf78-3:1	5.015508	4.5779805	4.2272305	3.9260938	3.8157253	3.2558122
incR145	lnc-CA12-1:1	5.066202	4.611801	4.8192964	4.175808	4.3426056	4.51707
incR146	lnc-CA8-13:3	6.6864896	6.4692764	6.2387395	5.840781	5.9007187	6.1624565
incR147	lnc-CADM1-1:1	2.4236944	1.8583803	2.706255	1.8803906	0.930974	1.218257
incR148	lnc-CADM1-11:1	3.1090107	2.696242	2.745491	0.87493706	2.4899902	1.4559946
incR149	lnc-CAMP-1:1	5.452016	5.716249	5.602617	5.103915	4.86041	5.2792106
incR150	lnc-CAPN12-2:2	4.2672114	3.8458903	4.1885834	3.338666	3.794827	3.529222
incR151	lnc-CAST-1:1	7.0774693	6.511183	5.6040144	5.6155825	4.9427123	4.6201534
incR152	lnc-CAST-5:1	6.3278284	6.338336	6.09048	5.4895167	5.3219233	5.841821
